epic, name, current price (p), day change (p), day change (%)
RESI,Residential Secure Income REIT,85.20,-1.40,-1.62%
RTN,Restaurant Group,30.22,+0.38,+1.27%
RHIM,RHI Magnesita NV,2,234.00,+56.00,+2.57%
RCDO,Ricardo plc,460.00,-4.00,-0.86%
RMV,Rightmove plc,563.20,+1.20,+0.21%
RIO,Rio Tinto plc,5,584.00,-14.00,-0.25%
RCP,RIT Capital Partners plc,2,160.00,-105.00,-4.64%
RSE,Riverstone Energy Ltd,712.00,-4.00,-0.56%
RWA,Robert Walters plc,582.00,-18.00,-3.00%
RR.,Rolls Royce Holdings Plc,90.25,+3.32,+3.82%
ROR,Rotork plc,310.80,+1.00,+0.32%
RPS,Rps Group plc,219.00,-1.00,-0.45%
RS1,RS Group plc,953.00,+6.00,+0.63%
RICA,Ruffer Investment Co Ltd,314.00,+0.50,+0.16%
SUS,S & U plc,2,100.00,+10.00,+0.48%
SBRE,Sabre Insurance Group Plc,105.80,+2.80,+2.72%
SAFE,Safestore Holdings,950.00,+24.50,+2.65%
SAGA,Saga plc,104.00,+4.60,+4.63%
SGE,Sage Group plc,801.80,-9.80,-1.21%
SBRY,Sainsbury (J) plc,223.90,+1.90,+0.86%
SVS,Savills plc,939.00,-13.00,-1.37%
SDP,Schroder Asia Pacific Fund,514.00,-3.00,-0.58%
ATR,Schroder Asian Total Return Investment Company plc,414.00,-5.00,-1.19%
SERE,Schroder European Real Estate Investment Trust plc,73.90,-0.90,-1.20%
SCF,Schroder Income Growth Fund plc,301.00,+3.50,+1.18%
SJG,Schroder Japan Growth Fund plc,206.00,-1.50,-0.72%
SOI,Schroder Oriental Income Fund,254.50,-1.50,-0.59%
SREI,Schroder Real Estate Investment Trust Ltd,45.45,+0.45,+1.00%
SCP,Schroder UK Mid Cap Fund plc,553.00,+3.00,+0.55%
SUPP,Schroder UK Public Private Trust Plc,15.54,-0.21,-1.33%
SDR,Schroders plc,462.60,-0.80,-0.17%
SAIN,Scottish American Investment Co plc,516.00,-4.00,-0.77%
SMT,Scottish Mortgage Investment Trust plc,787.80,-8.60,-1.08%
SST,Scottish Oriental Smaller Cos Trust,1,137.50,+27.50,+2.48%
SEIT,SDCL Energy Efficiency Income Trust Plc,105.00,-0.80,-0.76%
STB,Secure Trust Bank plc,649.00,-1.00,-0.15%
STS,Securities Trust of Scotland,230.50,-0.50,-0.22%
SGRO,Segro Plc,819.60,+12.80,+1.59%
SNR,Senior plc,124.60,+0.80,+0.65%
SEQI,Sequoia Economic Infrastructure Income Fund Ltd,87.10,-1.50,-1.69%
SSIT,Seraphim Space Investment Trust plc,48.80,+0.05,+0.10%
SRP,Serco Group plc,172.60,+0.40,+0.23%
SFR,Severfield plc,62.40,+1.70,+2.80%
SVT,Severn Trent Plc,2,735.00,+18.00,+0.66%
SHB,Shaftesbury,358.00,+1.60,+0.45%
SHEL,Shell plc,2,365.50,-16.50,-0.69%
SHI,Sig plc,31.60,+0.60,+1.94%
SRE,Sirius Real Estate Limited,82.60,+1.80,+2.23%
SN.,Smith & Nephew plc,1,089.50,+11.00,+1.02%
SMDS,Smith (DS),307.80,+4.00,+1.32%
SMIN,Smiths Group Plc,1,593.50,-2.00,-0.13%
SSON,Smithson Investment Trust Plc,1,338.00,-20.00,-1.47%
SKG,Smurfit Kappa Group Plc,3,015.00,+38.00,+1.28%
SCT,Softcat plc,1,304.00,-2.00,-0.15%
SXS,Spectris plc,3,229.00,+31.00,+0.97%
SDY,Speedy Hire plc,40.65,-0.90,-2.17%
SPX,Spirax-Sarco Engineering plc,11,480.00,+100.00,+0.88%
SPI,Spire Healthcare Group plc,235.00,-1.50,-0.63%
SPT,Spirent Communications plc,274.60,-9.40,-3.31%
SSE,SSE plc,1,723.00,-17.00,-0.98%
SSPG,SSP Group plc,218.50,+8.50,+4.05%
STJ,St James's Place Plc,1,185.00,+17.50,+1.50%
STAN,Standard Chartered plc,592.60,-2.20,-0.37%
SWEF,Starwood European Real Estate Fin Ltd,88.40,+0.40,+0.45%
STEM,Sthree Plc,412.00,+4.00,+0.98%
SEC,Strategic Equity Capital plc,270.50,+2.50,+0.93%
STVG,STV Group plc,265.00,+7.00,+2.71%
SDRY,Superdry plc,107.20,+1.20,+1.13%
SUPR,Supermarket Income REIT plc,105.50,0.00,0.00%
SYNC,Syncona Limited,177.00,-5.80,-3.17%
SYNT,Synthomer plc,133.50,+1.90,+1.44%
THRL,Target Healthcare REIT plc,79.40,+0.20,+0.25%
TATE,Tate & Lyle plc,738.20,+2.20,+0.30%
TMIP,Taylor Maritime Inc,88.60,-0.10,-0.11%
TW.,Taylor Wimpey plc,104.90,+0.25,+0.24%
TBCG,TBC Bank Group Plc,2,200.00,0.00,0.00%
TEP,Telecom Plus plc,2,410.00,-90.00,-3.60%
TMPL,Temple Bar Investment Trust plc,229.00,0.00,0.00%
TEM,Templeton Emerging Markets Investment Trust plc,147.60,-0.80,-0.54%
TEG,Ten Entertainment Group plc,241.00,-2.50,-1.03%
TSCO,Tesco plc,228.50,-0.20,-0.09%
ESCT,The European Smaller Companies Trust plc,153.50,+0.50,+0.33%
GSCT,The Global Smaller Companies Trust Plc,148.00,-1.00,-0.67%
TRIG,The Renewables Infrastructure Group Limited,131.00,-1.20,-0.91%
TIFS,TI Fluid Systems plc,126.80,-3.00,-2.31%
TPT,Topps Tiles plc,46.40,+4.00,+9.43%
TCAP,TP ICAP Finance plc,175.20,-3.50,-1.96%
TRY,TR Property Investment Trust plc,319.00,+2.00,+0.63%
TRN,Trainline plc,320.70,-15.10,-4.50%
TPK,Travis Perkins plc,953.00,+4.40,+0.46%
TET,Treatt plc,680.00,+1.00,+0.15%
TRI,Trifast,62.00,0.00,0.00%
SOHO,Triple Point Social Housing REIT plc,70.10,+1.30,+1.89%
BBOX,Tritax Big Box REIT plc,147.40,+1.80,+1.24%
EBOX,Tritax Eurobox Plc,65.50,+0.10,+0.15%
TIGT,Troy Income & Growth Trust plc,71.60,+0.60,+0.85%
TRST,Trustpilot Group plc,105.90,+3.30,+3.22%
TTG,TT Electronics plc,170.40,-3.60,-2.07%
TUI,TUI AG,145.45,+0.80,+0.55%
TLW,Tullow Oil plc,42.22,-1.58,-3.61%
TFIF,TwentyFour Income Fund Ltd,97.40,-0.20,-0.20%
SMIF,TwentyFour Select Monthly Income Fund Limited,74.90,+0.10,+0.13%
TYMN,Tyman Plc,225.00,-1.00,-0.44%
UKCM,UK Commercial Property Reit Limited,59.80,+0.90,+1.53%
ULVR,Unilever plc,4,178.00,-1.50,-0.04%
UTG,Unite Group,940.50,+6.50,+0.70%
UU.,United Utilities Group Plc,1,049.00,+3.00,+0.29%
UPGS,UP Global Sourcing Holdings plc,140.75,-1.25,-0.88%
SHED,Urban Logistics REIT plc,142.50,+3.00,+2.15%
UEM,Utilico Emerging Markets Trust plc,204.00,0.00,0.00%
VIP,Value and Indexed Property Income Trust,231.00,+1.00,+0.43%
VSVS,Vesuvius plc,388.40,-1.60,-0.41%
GSEO,VH Global Sustainable Energy Opportunities Plc,102.00,0.00,0.00%
VCT,Victrex,1,803.00,+4.00,+0.22%
VID,Videndum plc,1,226.00,-14.00,-1.13%
VEIL,Vietnam Enterprise Investments Ltd,593.00,+8.00,+1.37%
VOF,VinaCapital Vietnam Opportunity Fund Ltd,442.00,+2.50,+0.57%
VMUK,Virgin Money UK plc,177.65,+6.05,+3.53%
VTY,Vistry Group Plc,620.00,-10.50,-1.67%
VOD,Vodafone Group plc,91.14,-0.38,-0.42%
FAN,Volution Group plc,356.00,+0.50,+0.14%
VSL,VPC Specialty Lending Investments plc,83.50,+0.90,+1.09%
WPS,WAG Payment Solutions plc,80.00,0.00,0.00%
WHR,Warehouse REIT plc,111.80,+2.80,+2.57%
WOSG,Watches Of Switzerland Group plc,1,018.00,-19.00,-1.83%
WEIR,Weir Group plc,1,759.50,-10.50,-0.59%
SMWH,WH Smith Plc,1,442.50,+35.50,+2.52%
WTB,Whitbread plc,2,609.00,+3.00,+0.12%
WIX,Wickes Group Plc,140.30,-1.40,-0.99%
WIN,Wincanton,360.50,-0.50,-0.14%
WTAN,Witan Investment Trust plc,222.50,-2.00,-0.89%
WIZZ,Wizz Air Holdings plc,2,363.00,+63.00,+2.74%
WG.,Wood Group (John) Plc,131.15,-0.95,-0.72%
WKP,Workspace Group Plc,426.60,-4.00,-0.93%
WWH,Worldwide Healthcare Trust plc,3,305.00,-50.00,-1.49%
WPP,WPP plc,877.00,+3.20,+0.37%
XAR,Xaar,197.00,-11.00,-5.29%
XPP,XP Power Limited,2,085.00,+5.00,+0.24%
XPS,XPS Pensions Group Plc,138.50,-1.00,-0.72%
ZTF,Zotefoams plc,308.50,-4.00,-1.28%
